,id,scheduled_ts,pickup_ts,dropoff_ts,requested_ts,special_assistance,organization_id,ride_type,status,estimated_miles,fare,discount,route_id
65894,691654,2022-01-04 03:10:00,2022-01-04 03:34:48,2022-01-04 03:34:58,2021-12-29 14:28:12,False,195,Ready By,Completed,13.4,11.76,1.76,128236
65893,691655,2022-01-05 03:10:00,2022-01-05 03:35:10,2022-01-05 03:35:18,2021-12-29 14:28:12,False,195,Ready By,Completed,13.4,11.76,1.76,128240
67046,691677,2022-01-06 12:00:00,2022-01-06 12:03:34,2022-01-06 12:34:23,2021-12-29 14:28:13,False,195,Ready By,Completed,13.4,13.84,1.8,128258
65892,691657,2022-01-07 03:10:00,2022-01-07 02:59:27,2022-01-07 03:31:52,2021-12-29 14:28:12,False,195,Ready By,Completed,13.4,11.76,1.76,128259
64850,691676,2022-01-05 12:00:00,2022-01-05 12:02:39,2022-01-05 12:34:17,2021-12-29 14:28:13,False,195,Ready By,Completed,13.4,13.84,1.8,128260
62092,691656,2022-01-06 03:10:00,2022-01-06 03:01:42,2022-01-06 03:33:46,2021-12-29 14:28:12,False,195,Ready By,Completed,13.4,11.76,1.76,128261
66923,695171,2022-01-08 20:30:00,2022-01-08 21:54:16,2022-01-08 21:57:25,2021-12-29 19:54:50,False,45,Ready By,Completed,0.9,0.0,0.0,128271
66441,695083,2022-01-05 13:00:00,2022-01-05 12:52:31,2022-01-05 12:52:54,2021-12-29 19:54:48,False,45,Arrive By,Completed,0.9,0.0,0.0,128290
62091,695082,2022-01-04 13:00:00,2022-01-04 12:57:52,2022-01-04 13:01:55,2021-12-29 19:54:48,False,45,Arrive By,Completed,0.9,0.0,0.0,128299
66440,690138,2022-01-07 18:00:00,2022-01-07 18:01:31,2022-01-07 18:07:32,2021-12-28 18:57:04,False,37,Ready By,Completed,0.3,14.0,0.0,128305
67045,690139,2022-01-07 19:40:00,2022-01-07 19:20:59,2022-01-07 19:33:16,2021-12-28 18:57:05,False,37,Ready By,Completed,0.3,14.0,0.0,128306
30517,696962,2022-01-02 21:00:00,2022-01-02 21:43:29,2022-01-02 21:43:37,2021-12-31 17:46:22,False,221,Ready By,Completed,15.6,26.0,0.0,128428
30361,696963,2022-01-03 06:50:00,2022-01-03 08:51:15,2022-01-03 09:30:57,2021-12-31 17:46:23,False,221,Ready By,Completed,15.6,26.0,0.0,128430
30319,686395,2022-01-03 02:00:00,2022-01-03 02:05:28,2022-01-03 02:37:51,2021-12-17 03:01:26,False,221,Ready By,Completed,20.4,20.56,2.06,128432
29923,686472,2022-01-02 21:20:00,2022-01-02 21:41:42,2022-01-02 22:13:00,2021-12-17 03:06:53,False,221,Ready By,Completed,15.2,15.82,1.58,128434
29893,684293,2022-01-03 18:00:00,2022-01-03 17:59:13,2022-01-03 18:24:55,2021-12-17 01:32:10,False,221,Ready By,Completed,15.6,15.29,2.29,128435
29774,699218,2022-01-03 19:05:00,2022-01-03 19:07:46,2022-01-03 19:33:48,2022-01-01 19:43:19,False,221,Ready By,Completed,14.3,11.76,1.76,128439
29715,687510,2022-01-03 21:00:00,2022-01-03 21:01:44,2022-01-03 21:38:54,2021-12-17 03:50:48,False,221,Ready By,Completed,15.6,15.29,2.29,128440
29577,685130,2022-01-04 03:05:00,2022-01-04 02:40:50,2022-01-04 03:10:14,2021-12-17 01:46:53,False,221,Ready By,Completed,14.3,11.76,1.76,128445
62090,696981,2022-01-03 12:20:00,2022-01-03 12:20:43,2022-01-03 12:27:08,2022-01-01 14:14:56,False,45,Ready By,Completed,0.7,0.0,0.0,128457
29500,688904,2022-01-03 15:00:00,2022-01-03 14:56:51,2022-01-03 15:11:41,2021-12-23 14:03:31,False,245,Ready By,Completed,2.4,11.07,1.11,128463
66753,696982,2022-01-04 12:20:00,2022-01-04 12:24:07,2022-01-04 12:30:19,2022-01-01 14:18:34,False,45,Ready By,Completed,0.7,0.0,0.0,128464
64849,701435,2022-01-03 16:00:00,2022-01-03 15:56:07,2022-01-03 16:10:10,2022-01-02 02:40:41,False,45,Ready By,Completed,3.8,0.0,0.0,128470
29494,699219,2022-01-04 19:05:00,2022-01-04 19:01:52,2022-01-04 19:29:51,2022-01-01 19:43:19,False,221,Ready By,Completed,14.3,11.76,1.76,128486
29487,683519,2022-01-04 19:00:00,2022-01-04 19:07:06,2022-01-04 19:40:42,2021-12-17 01:19:16,False,221,Ready By,Completed,15.6,15.29,2.29,128488
29475,684232,2022-01-04 18:00:00,2022-01-04 18:03:40,2022-01-04 18:37:32,2021-12-17 01:31:32,False,221,Ready By,Completed,15.6,15.29,2.29,128490
29461,687511,2022-01-04 21:00:00,2022-01-04 21:03:39,2022-01-04 21:40:27,2021-12-17 03:50:48,False,221,Ready By,Completed,15.6,15.29,2.29,128492
64846,685772,2022-01-05 02:00:00,2022-01-05 02:05:56,2022-01-05 02:33:51,2021-12-17 02:15:49,False,221,Ready By,Completed,15.6,15.29,2.29,128493
29449,684077,2022-01-05 03:05:00,2022-01-05 04:12:56,2022-01-05 04:34:54,2021-12-17 01:29:49,False,221,Ready By,Completed,15.6,15.29,2.29,128494
62086,683488,2022-01-04 10:00:00,2022-01-04 09:58:28,2022-01-04 10:38:27,2021-12-17 01:19:14,False,221,Ready By,Completed,15.6,15.29,2.29,128497
29443,684297,2022-01-07 18:00:00,2022-01-07 18:01:07,2022-01-07 18:37:13,2021-12-17 01:32:10,False,221,Ready By,Completed,15.6,15.29,2.29,128502
29425,685103,2022-01-07 18:20:00,2022-01-07 18:20:42,2022-01-07 18:50:20,2021-12-17 01:46:50,False,221,Ready By,Completed,14.3,11.76,1.76,128506
62081,685775,2022-01-08 02:00:00,2022-01-08 02:10:26,2022-01-08 02:38:22,2021-12-17 02:15:49,False,221,Ready By,Completed,15.6,15.29,2.29,128507
29409,687514,2022-01-07 21:00:00,2022-01-07 21:10:51,2022-01-07 21:10:51,2021-12-17 03:50:48,False,221,Ready By,No Show,15.6,15.29,2.29,128510
29408,683491,2022-01-07 10:00:00,2022-01-07 10:08:03,2022-01-07 10:41:45,2021-12-17 01:19:14,False,221,Ready By,Completed,15.6,15.29,2.29,128512
29403,699221,2022-01-06 19:05:00,2022-01-06 19:05:27,2022-01-06 19:35:40,2022-01-01 19:43:19,False,221,Ready By,Completed,14.3,11.76,1.76,128516
62068,684296,2022-01-06 18:00:00,2022-01-06 18:00:42,2022-01-06 18:31:32,2021-12-17 01:32:10,False,221,Ready By,Completed,15.6,15.29,2.29,128517
29384,684978,2022-01-06 18:10:00,2022-01-06 18:18:30,2022-01-06 18:55:06,2021-12-17 01:45:50,False,221,Ready By,Completed,13.3,11.76,1.76,128521
29377,685774,2022-01-07 02:00:00,2022-01-07 02:06:28,2022-01-07 02:39:41,2021-12-17 02:15:49,False,221,Ready By,Completed,15.6,15.29,2.29,128522
29360,686999,2022-01-06 21:00:00,2022-01-06 21:24:53,2022-01-06 22:29:57,2021-12-17 03:31:30,False,221,Ready By,Completed,15.6,15.29,2.29,128525
29357,699220,2022-01-05 19:05:00,2022-01-05 19:05:51,2022-01-05 19:31:46,2022-01-01 19:43:19,False,221,Ready By,Completed,14.3,11.76,1.76,128531
29342,685039,2022-01-05 18:20:00,2022-01-05 18:21:30,2022-01-05 18:51:16,2021-12-17 01:46:19,False,221,Ready By,Completed,14.3,11.76,1.76,128532
64837,683520,2022-01-05 19:00:00,2022-01-05 19:42:00,2022-01-05 19:42:06,2021-12-17 01:19:16,False,221,Ready By,Completed,15.6,15.29,2.29,128533
29331,685132,2022-01-06 03:05:00,2022-01-06 03:41:00,2022-01-06 04:09:17,2021-12-17 01:46:53,False,221,Ready By,Completed,14.3,11.76,1.76,128534
29316,684295,2022-01-05 18:00:00,2022-01-05 17:56:20,2022-01-05 18:34:45,2021-12-17 01:32:10,False,221,Ready By,Completed,15.6,15.29,2.29,128535
29306,685803,2022-01-05 11:30:00,2022-01-05 11:44:26,2022-01-05 12:19:39,2021-12-17 02:16:18,False,221,Ready By,Completed,15.6,15.29,2.29,128536
29299,687512,2022-01-05 21:00:00,2022-01-05 21:06:13,2022-01-05 21:39:57,2021-12-17 03:50:48,False,221,Ready By,Completed,15.6,15.29,2.29,128537
66921,683489,2022-01-05 10:00:00,2022-01-05 10:06:16,2022-01-05 10:37:29,2021-12-17 01:19:14,False,221,Ready By,Completed,15.6,15.29,2.29,128542
29277,701855,2022-01-03 13:00:00,2022-01-03 12:05:17,2022-01-03 13:10:10,2022-01-02 17:36:02,False,2,Arrive By,Completed,7.4,6.6,1.32,128593
29239,701696,2022-01-03 14:45:00,2022-01-03 13:49:51,2022-01-03 14:54:50,2022-01-02 17:00:27,True,2,Arrive By,Completed,11.6,7.76,1.55,128596
29212,698686,2022-01-03 14:45:00,2022-01-03 14:07:55,2022-01-03 15:16:45,2022-01-01 18:43:56,False,2,Arrive By,Completed,3.9,5.44,1.09,128597
29203,701304,2022-01-03 19:00:00,2022-01-03 19:04:47,2022-01-03 19:23:04,2022-01-01 20:04:53,False,2,Ready By,Completed,7.1,6.6,1.32,128598
62062,700634,2022-01-03 20:30:00,2022-01-03 21:13:18,2022-01-03 22:06:09,2022-01-01 20:01:25,False,2,Ready By,Completed,10.1,6.6,1.32,128600
29162,701773,2022-01-03 20:30:00,2022-01-03 20:31:23,2022-01-03 21:31:46,2022-01-02 17:00:29,True,2,Ready By,Completed,11.6,7.76,1.55,128602
62045,701932,2022-01-04 13:00:00,2022-01-04 12:19:38,2022-01-04 13:05:12,2022-01-02 17:53:39,False,2,Arrive By,Completed,9.2,17.0,0.0,128605
62042,700324,2022-01-04 14:45:00,2022-01-04 13:48:08,2022-01-04 15:20:47,2022-01-01 19:57:55,False,2,Arrive By,Completed,4.0,6.79,1.22,128606
29156,699255,2022-01-04 14:45:00,2022-01-04 13:53:17,2022-01-04 14:41:44,2022-01-01 19:43:42,False,2,Arrive By,Completed,4.7,5.44,1.09,128607
66752,701619,2022-01-04 19:00:00,2022-01-04 19:16:45,2022-01-04 20:06:17,2022-01-02 16:55:42,True,2,Ready By,Completed,6.7,6.6,1.32,128608
65890,700376,2022-01-04 20:30:00,2022-01-04 21:14:48,2022-01-04 21:53:05,2022-01-01 19:57:56,False,2,Ready By,Completed,4.0,6.79,1.22,128610
29150,699384,2022-01-04 20:30:00,2022-01-04 20:29:39,2022-01-04 21:29:02,2022-01-01 19:43:45,False,2,Ready By,Completed,4.7,5.44,1.09,128611
29147,701856,2022-01-05 13:00:00,2022-01-05 12:07:20,2022-01-05 13:04:02,2022-01-02 17:36:02,False,2,Arrive By,Completed,7.4,6.6,1.32,128612
29142,701697,2022-01-05 14:45:00,2022-01-05 13:34:15,2022-01-05 15:08:14,2022-01-02 17:00:27,True,2,Arrive By,Completed,11.6,7.76,1.55,128614
64834,700558,2022-01-05 14:45:00,2022-01-05 13:50:17,2022-01-05 15:11:26,2022-01-01 20:01:23,False,2,Arrive By,Completed,10.1,6.6,1.32,128615
29140,701048,2022-01-05 19:00:00,2022-01-05 19:06:02,2022-01-05 19:24:22,2022-01-01 20:04:48,False,2,Ready By,Completed,7.1,6.6,1.32,128616
66438,699680,2022-01-05 19:00:00,2022-01-05 19:09:23,2022-01-05 19:17:12,2022-01-01 19:48:32,False,2,Ready By,Completed,1.0,5.44,1.09,128617
66917,700635,2022-01-05 20:30:00,2022-01-05 21:10:50,2022-01-05 22:31:27,2022-01-01 20:01:25,False,2,Ready By,Completed,10.1,6.6,1.32,128618
29136,701774,2022-01-05 20:30:00,2022-01-05 20:39:39,2022-01-05 22:03:44,2022-01-02 17:00:29,True,2,Ready By,Completed,11.6,7.76,1.55,128619
29126,701935,2022-01-06 13:00:00,2022-01-06 11:40:42,2022-01-06 13:20:11,2022-01-02 18:49:35,False,2,Arrive By,Completed,9.2,17.0,0.0,128620
29120,700325,2022-01-06 14:45:00,2022-01-06 14:05:06,2022-01-06 14:25:52,2022-01-01 19:57:55,False,2,Arrive By,Completed,4.0,6.79,1.22,128623
29104,701620,2022-01-06 19:00:00,2022-01-06 19:11:34,2022-01-06 19:47:47,2022-01-02 16:55:42,True,2,Ready By,Completed,6.7,6.6,1.32,128624
62037,700377,2022-01-06 20:30:00,2022-01-06 20:35:09,2022-01-06 20:59:57,2022-01-01 19:57:56,False,2,Ready By,Completed,4.0,6.79,1.22,128626
29100,701857,2022-01-07 13:00:00,2022-01-07 12:13:33,2022-01-07 13:40:52,2022-01-02 17:36:02,False,2,Arrive By,Completed,7.4,6.6,1.32,128628
62034,701698,2022-01-07 14:45:00,2022-01-07 13:44:43,2022-01-07 14:34:40,2022-01-02 17:00:27,True,2,Arrive By,Completed,11.6,7.76,1.55,128630
62031,700559,2022-01-07 14:45:00,2022-01-07 14:08:43,2022-01-07 15:13:32,2022-01-01 20:01:23,False,2,Arrive By,Completed,10.1,6.6,1.32,128631
66435,701621,2022-01-07 19:00:00,2022-01-07 19:17:34,2022-01-07 19:43:37,2022-01-02 16:55:42,True,2,Ready By,Completed,6.7,6.6,1.32,128633
66430,701775,2022-01-07 20:30:00,2022-01-07 20:51:01,2022-01-07 21:40:48,2022-01-02 17:00:29,True,2,Ready By,Completed,11.6,7.76,1.55,128634
29097,700636,2022-01-07 20:30:00,2022-01-07 20:57:53,2022-01-07 22:05:05,2022-01-01 20:01:25,False,2,Ready By,Completed,10.1,6.6,1.32,128635
29089,701858,2022-01-10 13:00:00,2022-01-10 12:43:17,2022-01-10 13:49:07,2022-01-02 17:36:02,False,2,Arrive By,Completed,7.4,6.6,1.32,128637
29078,699259,2022-01-10 14:45:00,2022-01-10 13:44:15,2022-01-10 14:06:50,2022-01-01 19:43:42,False,2,Arrive By,Completed,4.7,5.44,1.09,128638
29077,700560,2022-01-10 14:45:00,2022-01-10 14:26:30,2022-01-10 15:22:58,2022-01-01 20:01:23,False,2,Arrive By,Completed,10.1,6.6,1.32,128639
29074,701051,2022-01-10 19:00:00,2022-01-10 19:01:24,2022-01-10 19:53:35,2022-01-01 20:04:48,False,2,Ready By,Completed,7.1,6.6,1.32,128640
29069,699837,2022-01-10 19:00:00,2022-01-10 19:22:12,2022-01-10 19:45:08,2022-01-01 19:50:43,False,2,Ready By,Completed,2.8,5.44,1.09,128641
62021,701776,2022-01-10 20:30:00,2022-01-10 20:20:12,2022-01-10 21:15:40,2022-01-02 17:00:29,True,2,Ready By,Completed,11.6,7.76,1.55,128643
66428,705159,2022-01-03 13:00:00,2022-01-03 12:54:15,2022-01-03 13:27:00,2022-01-02 20:30:04,False,2,Arrive By,Completed,11.1,9.71,1.75,128647
62013,703409,2022-01-03 13:00:00,2022-01-03 11:50:54,2022-01-03 12:53:03,2022-01-02 20:08:31,True,2,Arrive By,Completed,10.4,6.6,1.32,128648
62012,703794,2022-01-03 19:00:00,2022-01-03 19:03:39,2022-01-03 19:47:59,2022-01-02 20:11:37,False,2,Ready By,Completed,16.0,10.09,2.02,128651
29065,703486,2022-01-03 19:00:00,2022-01-03 19:30:04,2022-01-03 20:18:24,2022-01-02 20:08:35,True,2,Ready By,Completed,10.4,6.6,1.32,128652
29060,705825,2022-01-03 20:30:00,2022-01-03 20:36:54,2022-01-03 21:16:48,2022-01-03 17:18:26,False,2,Ready By,Completed,5.9,17.0,0.0,128653
29058,704333,2022-01-04 13:00:00,2022-01-04 12:22:30,2022-01-04 13:09:35,2022-01-02 20:16:36,True,2,Arrive By,Completed,15.6,10.09,2.02,128655
66427,704410,2022-01-04 19:00:00,2022-01-04 19:05:34,2022-01-04 19:52:56,2022-01-02 20:16:39,True,2,Ready By,Completed,15.6,10.09,2.02,128656
29056,704334,2022-01-06 13:00:00,2022-01-06 12:09:42,2022-01-06 13:09:16,2022-01-02 20:16:36,True,2,Arrive By,Completed,15.6,10.09,2.02,128661
66425,704411,2022-01-06 19:00:00,2022-01-06 19:06:08,2022-01-06 19:52:32,2022-01-02 20:16:39,True,2,Ready By,Completed,15.6,10.09,2.02,128664
65889,705056,2022-01-06 14:45:00,2022-01-06 13:38:16,2022-01-06 14:29:19,2022-01-02 20:24:30,False,2,Arrive By,Completed,5.0,6.79,1.22,128665
64831,703718,2022-01-05 13:00:00,2022-01-05 11:58:26,2022-01-05 13:11:41,2022-01-02 20:11:35,False,2,Arrive By,Completed,16.0,10.09,2.02,128667
65884,703410,2022-01-05 13:00:00,2022-01-05 11:49:29,2022-01-05 13:10:59,2022-01-02 20:08:31,True,2,Arrive By,Completed,10.4,6.6,1.32,128668
64828,703487,2022-01-05 19:00:00,2022-01-05 19:28:04,2022-01-05 20:17:59,2022-01-02 20:08:35,True,2,Ready By,Completed,10.4,6.6,1.32,128671
29055,703795,2022-01-05 19:00:00,2022-01-05 19:03:39,2022-01-05 19:47:53,2022-01-02 20:11:37,False,2,Ready By,Completed,16.0,10.09,2.02,128672
29052,705774,2022-01-05 20:30:00,2022-01-05 20:27:11,2022-01-05 21:07:12,2022-01-03 17:17:47,False,2,Ready By,Completed,5.9,8.25,1.49,128673
29049,704335,2022-01-07 13:00:00,2022-01-07 11:54:25,2022-01-07 13:14:55,2022-01-02 20:16:36,True,2,Arrive By,Completed,15.6,10.09,2.02,128675
29047,705160,2022-01-07 13:00:00,2022-01-07 12:54:13,2022-01-07 13:30:41,2022-01-02 20:30:04,False,2,Arrive By,Completed,11.1,9.71,1.75,128676
62007,704826,2022-01-07 14:45:00,2022-01-07 13:58:17,2022-01-07 14:50:12,2022-01-02 20:22:20,False,2,Arrive By,Completed,4.8,5.44,1.09,128677
29043,703284,2022-01-07 19:00:00,2022-01-07 19:29:30,2022-01-07 20:35:12,2022-01-02 20:07:46,True,2,Ready By,Completed,12.5,7.76,1.55,128679
62003,704412,2022-01-07 19:00:00,2022-01-07 19:08:42,2022-01-07 20:24:03,2022-01-02 20:16:39,True,2,Ready By,Completed,15.6,10.09,2.02,128680
29042,704903,2022-01-07 20:30:00,2022-01-07 21:01:09,2022-01-07 21:30:26,2022-01-02 20:22:22,False,2,Ready By,Completed,4.8,5.44,1.09,128682
29040,701542,2022-01-04 13:00:00,2022-01-04 12:25:52,2022-01-04 13:32:07,2022-01-02 16:55:39,True,2,Arrive By,Completed,6.7,6.6,1.32,128685
29014,699512,2022-01-04 06:30:00,2022-01-04 06:39:29,2022-01-04 07:06:02,2022-01-01 19:44:03,False,221,Ready By,Completed,14.3,11.76,1.76,128692
28956,687627,2022-01-04 07:47:00,2022-01-04 08:55:46,2022-01-04 09:08:21,2021-12-17 03:53:54,False,221,Ready By,Completed,15.2,11.76,1.76,128694
28835,705340,2022-01-03 04:00:00,2022-01-03 04:19:54,2022-01-03 04:44:49,2022-01-03 03:21:11,False,221,Ready By,Completed,15.2,20.0,0.0,128697
66423,705396,2022-01-04 00:00:00,2022-01-04 00:05:47,2022-01-04 00:18:37,2022-01-03 14:41:45,True,37,Ready By,Completed,3.1,11.07,1.11,128744
65883,705405,2022-01-04 01:35:00,2022-01-04 01:40:32,2022-01-04 01:54:15,2022-01-03 14:41:46,True,37,Ready By,Completed,3.1,11.07,1.11,128745
66422,696975,2022-01-05 00:30:00,2022-01-05 00:35:34,2022-01-05 00:47:41,2021-12-31 23:14:52,False,45,Ready By,Completed,3.8,0.0,0.0,128752
28796,684324,2022-01-04 02:30:00,2022-01-04 02:39:11,2022-01-04 03:09:23,2021-12-17 01:32:12,False,221,Ready By,Completed,15.6,15.29,2.29,128765
62002,696903,2022-01-05 18:00:00,2022-01-05 17:59:10,2022-01-05 18:04:54,2021-12-30 19:51:13,False,37,Ready By,Completed,0.7,14.0,0.0,128773
66750,696904,2022-01-05 19:45:00,2022-01-05 19:41:29,2022-01-05 19:46:31,2021-12-30 19:51:15,False,37,Ready By,Completed,0.7,14.0,0.0,128774
66421,705329,2022-01-04 14:00:00,2022-01-04 14:03:36,2022-01-04 14:20:46,2022-01-03 01:48:58,True,37,Ready By,Completed,2.5,14.0,0.0,128822
64600,696978,2022-01-04 19:45:00,2022-01-04 19:46:46,2022-01-04 19:46:46,2022-01-01 03:42:35,True,37,Ready By,No Show,4.5,14.0,0.0,128824
28730,685802,2022-01-04 10:36:00,2022-01-04 11:12:23,2022-01-04 11:12:33,2021-12-17 02:16:18,False,221,Ready By,Completed,15.6,15.29,2.29,128942
66749,695168,2022-01-05 21:30:00,2022-01-05 21:38:27,2022-01-05 21:42:06,2021-12-29 19:54:50,False,45,Ready By,Completed,0.9,0.0,0.0,128963
66915,695167,2022-01-04 21:30:00,2022-01-04 21:32:44,2022-01-04 21:35:38,2021-12-29 19:54:50,False,45,Ready By,Completed,0.9,0.0,0.0,128964
20340,685038,2022-01-04 18:20:00,2022-01-04 18:21:20,2022-01-04 18:51:02,2021-12-17 01:46:19,False,221,Ready By,Completed,14.3,11.76,1.76,128975
20286,686311,2022-01-05 07:30:00,2022-01-05 07:39:02,2022-01-05 08:57:04,2021-12-17 02:57:39,False,221,Ready By,Completed,19.3,15.29,2.29,128978
20256,687628,2022-01-05 08:30:00,2022-01-05 09:00:22,2022-01-05 09:32:28,2021-12-17 03:53:54,False,221,Ready By,Completed,15.2,11.76,1.76,128979
20211,706517,2022-01-06 07:30:00,2022-01-06 07:41:52,2022-01-06 08:58:38,2022-01-05 17:15:47,False,221,Ready By,Completed,15.2,20.0,0.0,128996
20087,687629,2022-01-06 08:30:00,2022-01-06 09:30:05,2022-01-06 09:30:05,2021-12-17 03:53:54,False,221,Ready By,No Show,15.2,11.76,1.76,129000
61518,695820,2022-01-05 14:15:00,2022-01-05 14:24:23,2022-01-05 14:24:23,2021-12-29 20:14:49,False,45,Ready By,No Show,1.8,0.0,0.0,129004
66902,705397,2022-01-11 00:00:00,2022-01-11 00:17:35,2022-01-11 00:31:47,2022-01-03 14:41:45,True,37,Ready By,Completed,3.1,11.07,1.11,129027
65799,705406,2022-01-11 01:35:00,2022-01-11 01:42:34,2022-01-11 01:55:11,2022-01-03 14:41:46,True,37,Ready By,Completed,3.1,11.07,1.11,129028
20044,701047,2022-01-04 19:00:00,2022-01-04 19:27:18,2022-01-04 19:54:29,2022-01-01 20:04:48,False,2,Ready By,Completed,7.1,6.6,1.32,129032
66901,695169,2022-01-06 21:30:00,2022-01-06 21:32:09,2022-01-06 21:36:12,2021-12-29 19:54:50,False,45,Ready By,Completed,0.9,0.0,0.0,129055
61516,706213,2022-01-05 13:15:00,2022-01-05 13:14:08,2022-01-05 13:23:08,2022-01-04 22:03:24,False,45,Ready By,Completed,3.8,0.0,0.0,129057
20011,661090,2022-01-05 13:30:00,2022-01-05 13:34:10,2022-01-05 13:42:21,2021-10-31 16:06:22,False,96,Arrive By,Completed,1.0,5.44,1.09,129142
66372,706455,2022-01-05 20:00:00,2022-01-05 20:04:22,2022-01-05 20:16:20,2022-01-05 15:25:33,False,45,Ready By,Completed,3.8,0.0,0.0,129167
20003,706456,2022-01-06 14:30:00,2022-01-06 14:38:56,2022-01-06 14:38:56,2022-01-05 15:26:58,False,45,Ready By,No Show,3.8,0.0,0.0,129169
